Date,Cash,Accounts Receivable,Inventory,Current Liabilities,Current Assets
2013-07-12,"$213329","$28016","$6885","-$118081","$130150"
2013-07-13,"$216131","$25214","$10985","-$122181","$130150"
2013-07-14,"$218653","$22692","$10985","-$122181","$130150"
2013-07-15,"$220923","$20422","$10985","-$122181","$130150"
2013-07-16,"$192419","$30000","$4529","-$112843","$114106"
2013-07-17,"$195419","$27000","$9182","-$117496","$114106"
2013-07-18,"$198488","$27618","$7339","-$117496","$115949"
2013-07-19,"$201250","$24856","$7339","-$117496","$115949"
2013-07-20,"$203736","$22370","$7339","-$117496","$115949"
2013-07-21,"$197274","$22362","$6100","-$108549","$117188"
2013-07-22,"$199511","$20125","$9045","-$111494","$117188"
2013-07-23,"$201524","$18112","$9045","-$111494","$117188"
2013-07-24,"$203685","$19440","$7301","-$111494","$118932"
2013-07-25,"$205629","$17496","$7301","-$111494","$118932"
2013-07-26,"$198932","$15746","$7301","-$103047","$118932"
2013-07-27,"$201833","$26106","$670","-$103047","$125563"
2013-07-28,"$204444","$23495","$7191","-$109568","$125563"
2013-07-29,"$206794","$21145","$7191","-$109568","$125563"
2013-07-30,"$209845","$27451","$2513","-$109568","$130241"
2013-07-31,"$205010","$35328","$2307","-$106503","$136143"
2013-08-01,"$208543","$31795","$4363","-$108559","$136143"
2013-08-02,"$211723","$28615","$9317","-$116513","$133143"
2013-08-03,"$215366","$32783","$5412","-$116513","$137048"
2013-08-04,"$218851","$31365","$10976","-$123111","$138082"
2013-08-05,"$221988","$28228","$10976","-$123111","$138082"
2013-08-06,"$193670","$30115","$8359","-$113946","$118199"
2013-08-07,"$197373","$33321","$4905","-$113946","$121653"
2013-08-08,"$200706","$29988","$11550","-$120517","$121727"
2013-08-09,"$203705","$26989","$11550","-$120517","$121727"
2013-08-10,"$206937","$29085","$8886","-$120517","$124391"
2013-08-11,"$197965","$26176","$8886","-$108636","$124391"
2013-08-12,"$200583","$23558","$8886","-$108636","$124391"
2013-08-13,"$202939","$21202","$8886","-$108636","$124391"
2013-08-14,"$205060","$19081","$8886","-$108636","$124391"
2013-08-15,"$206969","$17172","$8886","-$108636","$124391"
2013-08-16,"$177978","$15454","$8886","-$100427","$101891"
2013-08-17,"$180192","$19922","$5545","-$100427","$105232"
2013-08-18,"$182715","$22702","$6613","-$104147","$107883"
2013-08-19,"$184986","$20431","$12332","-$109866","$107883"
2013-08-20,"$187030","$18387","$12332","-$109866","$107883"
2013-08-21,"$180557","$16548","$12332","-$101554","$107883"
2013-08-22,"$182212","$14893","$12332","-$101554","$107883"
2013-08-23,"$183702","$13403","$12332","-$101554","$107883"
2013-08-24,"$185043","$12062","$12332","-$101554","$107883"
2013-08-25,"$186250","$10855","$12332","-$101554","$107883"
2013-08-26,"$179717","$9769","$12332","-$93935","$107883"
2013-08-27,"$182527","$25286","$3169","-$93935","$117047"
2013-08-28,"$185056","$22757","$6320","-$97086","$117047"
2013-08-29,"$187332","$20481","$11014","-$101780","$117047"
2013-08-30,"$190971","$32750","$3060","-$101780","$125001"
2013-08-31,"$187025","$35590","$2815","-$97032","$128398"
2013-09-01,"$190584","$32031","$4956","-$99173","$128398"
2013-09-02,"$193788","$28827","$9985","-$107202","$125398"
2013-09-03,"$196671","$25944","$9985","-$107202","$125398"
2013-09-04,"$199266","$23349","$9985","-$107202","$125398"
2013-09-05,"$201601","$21014","$9985","-$107202","$125398"
2013-09-06,"$174431","$28523","$4646","-$99362","$108238"
2013-09-07,"$178719","$38588","$3230","-$105123","$115414"
2013-09-08,"$182578","$34729","$5669","-$107618","$115358"
2013-09-09,"$186051","$31256","$9518","-$111467","$115358"
2013-09-10,"$190316","$38379","$3824","-$111467","$121052"
2013-09-11,"$182461","$34541","$9184","-$105134","$121052"
2013-09-12,"$185916","$31086","$9184","-$105134","$121052"
2013-09-13,"$189025","$27977","$9184","-$105134","$121052"
2013-09-14,"$192826","$34209","$4168","-$105134","$126069"
2013-09-15,"$196626","$34192","$5467","-$108325","$127960"
2013-09-16,"$169148","$30772","$8050","-$102510","$105460"
2013-09-17,"$172382","$29106","$7266","-$102510","$106244"
2013-09-18,"$175293","$26195","$7266","-$102510","$106244"
2013-09-19,"$178835","$31870","$2658","-$102510","$110853"
2013-09-20,"$182022","$28683","$5278","-$105130","$110853"
2013-09-21,"$177357","$34377","$7333","-$103457","$115610"
2013-09-22,"$180795","$30939","$7333","-$103457","$115610"
2013-09-23,"$183889","$27845","$7333","-$103457","$115610"
2013-09-24,"$187526","$32731","$3071","-$103457","$119871"
2013-09-25,"$190800","$29457","$9238","-$109624","$119871"
2013-09-26,"$185455","$26511","$9238","-$101333","$119871"
2013-09-27,"$188776","$29883","$5892","-$101333","$123218"
2013-09-28,"$191765","$26894","$8747","-$104188","$123218"
2013-09-29,"$194970","$28842","$6170","-$104188","$125794"
2013-09-30,"$197855","$25957","$10886","-$108904","$125794"
2013-10-01,"$192593","$26718","$9021","-$100673","$127659"
2013-10-02,"$196801","$37871","$1341","-$103673","$132340"
2013-10-03,"$200589","$34083","$3945","-$106277","$132340"
2013-10-04,"$203998","$30674","$9943","-$112275","$132340"
2013-10-05,"$207066","$27606","$9943","-$112275","$132340"
2013-10-06,"$179065","$24845","$9943","-$104013","$109840"
2013-10-07,"$182588","$31706","$4751","-$104013","$115032"
2013-10-08,"$185759","$28535","$8998","-$108430","$114861"
2013-10-09,"$188613","$25681","$8998","-$108430","$114861"
2013-10-10,"$191604","$26913","$6886","-$108430","$116973"
2013-10-11,"$182999","$24221","$9262","-$99510","$116973"
2013-10-12,"$186405","$30647","$4346","-$99510","$121889"
2013-10-13,"$189470","$27582","$7594","-$102758","$121889"
2013-10-14,"$193369","$35089","$1891","-$102758","$127592"
2013-10-15,"$196878","$31580","$6694","-$107561","$127592"
2013-10-16,"$169047","$28422","$11125","-$103503","$105092"
2013-10-17,"$172450","$30625","$8322","-$103503","$107895"
2013-10-18,"$176145","$33252","$5161","-$103503","$111056"
2013-10-19,"$179471","$29926","$7163","-$105505","$111056"
2013-10-20,"$182464","$26933","$7163","-$105505","$111056"
2013-10-21,"$178164","$32832","$2390","-$97557","$115829"
2013-10-22,"$181448","$29548","$8230","-$103397","$115829"
2013-10-23,"$184860","$30703","$5946","-$103397","$118113"
2013-10-24,"$188895","$36307","$3406","-$105676","$122932"
2013-10-25,"$193783","$43989","$550","-$109105","$129217"
2013-10-26,"$189449","$39590","$6367","-$106189","$129217"
2013-10-27,"$194401","$44567","$5161","-$109948","$134182"
2013-10-28,"$199134","$42590","$10636","-$116801","$135560"
2013-10-29,"$203393","$38331","$10636","-$116801","$135560"
2013-10-30,"$207227","$34497","$10636","-$116801","$135560"
2013-10-31,"$202750","$39708","$5824","-$107911","$140372"
2013-11-01,"$208174","$48815","$4521","-$113873","$147637"
2013-11-02,"$213056","$43933","$8796","-$121148","$144637"
2013-11-03,"$217634","$41201","$7873","-$121148","$145560"
2013-11-04,"$221755","$37080","$7873","-$121148","$145560"
2013-11-05,"$225463","$33372","$7873","-$121148","$145560"
2013-11-06,"$197299","$30034","$7873","-$112146","$123060"
2013-11-07,"$200945","$32813","$4660","-$112146","$126273"
2013-11-08,"$204227","$29531","$8868","-$116593","$126034"
2013-11-09,"$207691","$31170","$6317","-$116593","$128585"
2013-11-10,"$211583","$35026","$9070","-$123220","$132459"
2013-11-11,"$204080","$44011","$2132","-$110826","$139397"
2013-11-12,"$208482","$39609","$7010","-$115704","$139397"
2013-11-13,"$212692","$37888","$5765","-$115704","$140642"
2013-11-14,"$216481","$34099","$11185","-$121124","$140642"
2013-11-15,"$219891","$30689","$11185","-$121124","$140642"
2013-11-16,"$192058","$35247","$6948","-$111874","$122379"
2013-11-17,"$197209","$46352","$4306","-$117360","$130507"
2013-11-18,"$202300","$45812","$4222","-$119552","$132783"
2013-11-19,"$206882","$41230","$7454","-$122784","$132783"
2013-11-20,"$211005","$37107","$7454","-$122784","$132783"
2013-11-21,"$205953","$39022","$4329","-$113396","$135908"
2013-11-22,"$210967","$45117","$2227","-$116849","$141463"
2013-11-23,"$215824","$43708","$5676","-$122022","$143187"
2013-11-24,"$220195","$39337","$8481","-$124827","$143187"
2013-11-25,"$224129","$35403","$8481","-$124827","$143187"
2013-11-26,"$219753","$46638","$273","-$115269","$151395"
2013-11-27,"$224417","$41974","$4524","-$119520","$151395"
2013-11-28,"$228615","$37776","$9616","-$124612","$151395"
2013-11-29,"$232393","$33998","$9616","-$124612","$151395"
2013-11-30,"$235793","$30598","$9616","-$124612","$151395"
2013-12-01,"$229313","$27538","$9616","-$115072","$151395"
2013-12-02,"$233630","$38846","$1803","-$118072","$156208"
2013-12-03,"$237515","$34961","$3876","-$120145","$156208"
2013-12-04,"$241931","$39736","$4041","-$124905","$160803"
2013-12-05,"$245905","$35762","$9735","-$130599","$160803"
2013-12-06,"$217570","$35583","$7847","-$120810","$140191"
2013-12-07,"$221514","$35491","$5921","-$120810","$142117"
2013-12-08,"$225064","$31941","$11233","-$126365","$141873"
2013-12-09,"$228259","$28746","$11233","-$126365","$141873"
2013-12-10,"$231134","$25871","$11233","-$126365","$141873"
2013-12-11,"$221261","$25073","$10239","-$113706","$142867"
2013-12-12,"$223769","$22565","$10239","-$113706","$142867"
2013-12-13,"$226766","$26972","$6537","-$113706","$146569"
2013-12-14,"$229464","$24274","$11303","-$118472","$146569"
2013-12-15,"$232883","$30771","$6345","-$118472","$151527"
2013-12-16,"$204094","$27693","$10408","-$113168","$129027"
2013-12-17,"$206864","$24923","$10408","-$113168","$129027"
2013-12-18,"$209583","$24462","$9279","-$113168","$130156"
2013-12-19,"$212914","$29972","$4859","-$113168","$134577"
2013-12-20,"$215912","$26974","$6936","-$115245","$134577"
2013-12-21,"$209463","$24276","$11583","-$110745","$134577"
2013-12-22,"$211891","$21848","$11583","-$110745","$134577"
2013-12-23,"$214076","$19663","$11583","-$110745","$134577"
2013-12-24,"$216043","$17696","$11583","-$110745","$134577"
2013-12-25,"$218879","$25516","$6255","-$110745","$139905"
2013-12-26,"$213032","$27862","$10233","-$108501","$142626"
2013-12-27,"$217207","$37569","$3292","-$108501","$149567"
2013-12-28,"$221073","$34791","$5385","-$111138","$150111"
2013-12-29,"$224553","$31311","$10245","-$115998","$150111"
2013-12-30,"$229257","$42327","$2385","-$115998","$157971"
2013-12-31,"$224095","$38094","$9258","-$113476","$157971"
2014-01-01,"$227905","$34284","$9258","-$113476","$157971"
2014-01-02,"$231334","$30855","$9258","-$116476","$154971"
2014-01-03,"$235373","$36346","$4493","-$116476","$159736"
2014-01-04,"$239008","$32711","$10742","-$122725","$159736"
2014-01-05,"$242280","$29439","$10742","-$122725","$159736"
2014-01-06,"$213591","$26495","$10742","-$113592","$137236"
2014-01-07,"$216241","$23845","$10742","-$113592","$137236"
2014-01-08,"$219563","$29892","$6057","-$113774","$141737"
2014-01-09,"$222553","$26902","$10459","-$118176","$141737"
2014-01-10,"$225787","$29105","$7741","-$118176","$144456"
2014-01-11,"$216823","$26613","$7508","-$106255","$144689"
2014-01-12,"$219903","$27720","$5414","-$106255","$146782"
2014-01-13,"$222675","$24948","$7438","-$108279","$146782"
2014-01-14,"$225170","$22453","$7438","-$108279","$146782"
2014-01-15,"$227416","$20207","$7438","-$108279","$146782"
2014-01-16,"$198758","$18186","$7438","-$100100","$124282"
2014-01-17,"$200577","$16367","$7438","-$100100","$124282"
2014-01-18,"$202214","$14730","$7438","-$100100","$124282"
2014-01-19,"$203687","$13257","$7438","-$100100","$124282"
2014-01-20,"$206124","$21930","$1883","-$100100","$129837"
2014-01-21,"$200297","$19737","$8144","-$98341","$129837"
2014-01-22,"$203171","$25862","$3645","-$98341","$134337"
2014-01-23,"$207434","$38367","$1933","-$105013","$142721"
2014-01-24,"$212139","$42345","$138","-$107560","$147062"
2014-01-25,"$216374","$38110","$4870","-$112292","$147062"
2014-01-26,"$213101","$51443","$1050","-$109007","$156587"
2014-01-27,"$218301","$46798","$4094","-$112329","$156864"
2014-01-28,"$222981","$42118","$8423","-$116658","$156864"
2014-01-29,"$227193","$37906","$8423","-$116658","$156864"
2014-01-30,"$231535","$39073","$5669","-$116658","$159619"
2014-01-31,"$226148","$35165","$10677","-$112371","$159619"
2014-02-01,"$229665","$31648","$10677","-$112371","$159619"
2014-02-02,"$232830","$28483","$10677","-$115371","$156619"
2014-02-03,"$235679","$25634","$10677","-$115371","$156619"
2014-02-04,"$238243","$23070","$10677","-$115371","$156619"
2014-02-05,"$241906","$32961","$3900","-$115371","$163396"
2014-02-06,"$213743","$29664","$9176","-$111687","$140896"
2014-02-07,"$217305","$32055","$6199","-$111687","$143872"
2014-02-08,"$220511","$28849","$11089","-$116650","$143799"
2014-02-09,"$223396","$25964","$11089","-$116650","$143799"
2014-02-10,"$225993","$23367","$11089","-$116650","$143799"
2014-02-11,"$216635","$21030","$11089","-$104956","$143799"
2014-02-12,"$218738","$18927","$11089","-$104956","$143799"
2014-02-13,"$220631","$17034","$11089","-$104956","$143799"
2014-02-14,"$222377","$15706","$10880","-$104956","$144008"
2014-02-15,"$225494","$28052","$3149","-$104956","$151739"
2014-02-16,"$197779","$26051","$5189","-$99333","$129686"
2014-02-17,"$200385","$23445","$11913","-$106057","$129686"
2014-02-18,"$202730","$21100","$11913","-$106057","$129686"
2014-02-19,"$204840","$18990","$11913","-$106057","$129686"
2014-02-20,"$208676","$34518","$2231","-$106057","$139368"
2014-02-21,"$203606","$31066","$8559","-$103863","$139368"
2014-02-22,"$208026","$39778","$1993","-$103863","$145934"
2014-02-23,"$213543","$49647","$375","-$109938","$153627"
2014-02-24,"$218508","$44682","$5739","-$115302","$153627"
2014-02-25,"$224688","$55620","$551","-$118673","$162186"
2014-02-26,"$220798","$50058","$5423","-$114093","$162186"
2014-02-27,"$225804","$45052","$10712","-$119382","$162186"
2014-02-28,"$230310","$40546","$10712","-$119382","$162186"
2014-03-01,"$234950","$41759","$7785","-$119382","$165113"
2014-03-02,"$239143","$37732","$7702","-$122382","$162196"
2014-03-03,"$243293","$37343","$5822","-$122382","$164076"
2014-03-04,"$247028","$33608","$11483","-$128043","$164076"
2014-03-05,"$250906","$34900","$8898","-$128043","$166661"
2014-03-06,"$222320","$31410","$8898","-$118467","$144161"
2014-03-07,"$226771","$40054","$2350","-$118467","$150709"
2014-03-08,"$230777","$36048","$7016","-$123076","$150765"
2014-03-09,"$234382","$32443","$7016","-$123076","$150765"
2014-03-10,"$237627","$29198","$7016","-$123076","$150765"
2014-03-11,"$228436","$26278","$7016","-$110966","$150765"
2014-03-12,"$231064","$23650","$7016","-$110966","$150765"
2014-03-13,"$233429","$21285","$7016","-$110966","$150765"
2014-03-14,"$236182","$24777","$3894","-$110966","$153887"
2014-03-15,"$238660","$22299","$8970","-$116042","$153887"
2014-03-16,"$209859","$22719","$7497","-$107216","$132860"
2014-03-17,"$212131","$20447","$7497","-$107216","$132860"
2014-03-18,"$214176","$18402","$7497","-$107216","$132860"
2014-03-19,"$216323","$19321","$5964","-$107216","$134393"
2014-03-20,"$218256","$17388","$10056","-$111308","$134393"
2014-03-21,"$211644","$16378","$9651","-$102876","$134798"
2014-03-22,"$213282","$14740","$9651","-$102876","$134798"
2014-03-23,"$214756","$13266","$9651","-$102876","$134798"
2014-03-24,"$217904","$28328","$546","-$102876","$143903"
2014-03-25,"$220737","$25495","$6628","-$108958","$143903"
2014-03-26,"$214669","$22945","$11211","-$104923","$143903"
2014-03-27,"$216964","$20650","$11211","-$104923","$143903"
2014-03-28,"$219029","$18585","$11211","-$104923","$143903"
2014-03-29,"$220888","$16726","$11211","-$104923","$143903"
2014-03-30,"$222561","$15053","$11211","-$104923","$143903"
2014-03-31,"$216475","$16324","$9669","-$97023","$145445"
2014-04-01,"$218108","$14691","$9669","-$97023","$145445"
2014-04-02,"$219578","$13221","$9669","-$100023","$142445"
2014-04-03,"$220901","$11898","$9669","-$100023","$142445"
2014-04-04,"$222091","$10708","$9669","-$100023","$142445"
2014-04-05,"$223162","$9637","$9669","-$100023","$142445"
2014-04-06,"$195703","$20533","$3080","-$92782","$126534"
2014-04-07,"$198054","$21158","$6096","-$97286","$128022"
2014-04-08,"$200342","$20584","$7379","-$99255","$129050"
2014-04-09,"$203354","$27104","$2613","-$99255","$133816"
2014-04-10,"$206065","$24393","$4774","-$101416","$133816"
2014-04-11,"$198527","$27564","$6461","-$95619","$136933"
2014-04-12,"$202032","$31541","$4999","-$97898","$140674"
2014-04-13,"$205187","$28386","$9329","-$102228","$140674"
2014-04-14,"$208026","$25547","$9329","-$102228","$140674"
2014-04-15,"$210581","$22992","$9329","-$102228","$140674"
2014-04-16,"$182706","$20692","$9329","-$94553","$118174"
2014-04-17,"$185999","$29634","$3211","-$94553","$124291"
2014-04-18,"$190098","$36882","$2718","-$99733","$129965"
2014-04-19,"$193787","$33193","$6013","-$103028","$129965"
2014-04-20,"$197107","$29873","$12370","-$109385","$129965"
2014-04-21,"$193303","$40207","$4969","-$101113","$137366"
2014-04-22,"$197430","$37135","$9484","-$106156","$137893"
2014-04-23,"$201144","$33421","$9484","-$106156","$137893"
2014-04-24,"$205816","$42045","$2836","-$106156","$144541"
2014-04-25,"$210021","$37840","$4912","-$108232","$144541"
2014-04-26,"$205148","$34056","$10692","-$105355","$144541"
2014-04-27,"$208554","$30650","$10692","-$105355","$144541"
2014-04-28,"$212392","$34536","$6830","-$105355","$148403"
2014-04-29,"$216983","$41313","$4843","-$109052","$154087"
2014-04-30,"$221115","$37181","$7528","-$111737","$154087"
2014-05-01,"$216366","$33462","$7528","-$103269","$154087"
2014-05-02,"$219713","$30115","$7528","-$106269","$151087"
2014-05-03,"$223003","$29605","$6138","-$106269","$152477"
2014-05-04,"$225964","$26644","$11759","-$111890","$152477"
2014-05-05,"$230911","$44519","$348","-$111890","$163888"
2014-05-06,"$204354","$40067","$3692","-$106725","$141388"
2014-05-07,"$208361","$36060","$10197","-$113230","$141388"
2014-05-08,"$211967","$32454","$10197","-$112990","$141627"
2014-05-09,"$215213","$29208","$10197","-$112990","$141627"
2014-05-10,"$218134","$26287","$10197","-$112990","$141627"
2014-05-11,"$211277","$38206","$2115","-$101888","$149710"
2014-05-12,"$215098","$34385","$5743","-$105516","$149710"
2014-05-13,"$218537","$30946","$10627","-$110400","$149710"
2014-05-14,"$221632","$27851","$10627","-$110400","$149710"
2014-05-15,"$225001","$30313","$7711","-$110400","$152625"
2014-05-16,"$198372","$38041","$1734","-$102044","$136103"
2014-05-17,"$202177","$34236","$6626","-$106936","$136103"
2014-05-18,"$205601","$30812","$13173","-$113483","$136103"
2014-05-19,"$208683","$27730","$13173","-$113483","$136103"
2014-05-20,"$211456","$24957","$13173","-$113483","$136103"
2014-05-21,"$205339","$22461","$13173","-$104870","$136103"
2014-05-22,"$207586","$20214","$13173","-$104870","$136103"
2014-05-23,"$209608","$18192","$13173","-$104870","$136103"
2014-05-24,"$211907","$20688","$10775","-$104870","$138500"
2014-05-25,"$213976","$18619","$10775","-$104870","$138500"
2014-05-26,"$207958","$16889","$10702","-$96975","$138574"
2014-05-27,"$209647","$15200","$10702","-$96975","$138574"
2014-05-28,"$212016","$21315","$6460","-$96975","$142816"
2014-05-29,"$214148","$19183","$10529","-$101044","$142816"
2014-05-30,"$216067","$17264","$10529","-$101044","$142816"
2014-05-31,"$211683","$28725","$3202","-$93468","$150142"
2014-06-01,"$214556","$25852","$9643","-$99909","$150142"
2014-06-02,"$218503","$35523","$2834","-$102909","$153951"
2014-06-03,"$223199","$42264","$272","-$106065","$159670"
2014-06-04,"$227763","$41074","$1173","-$108653","$161357"
2014-06-05,"$231871","$36966","$7957","-$115437","$161357"
2014-06-06,"$204931","$36767","$6013","-$106911","$140800"
2014-06-07,"$208608","$33090","$8256","-$109154","$140800"
2014-06-08,"$211917","$29781","$8256","-$108910","$141044"
2014-06-09,"$215662","$33702","$4423","-$108910","$144877"
2014-06-10,"$219033","$30331","$10159","-$114646","$144877"
2014-06-11,"$211535","$33642","$6635","-$103410","$148402"
2014-06-12,"$217128","$50332","$1445","-$109362","$159543"
2014-06-13,"$222217","$45797","$3303","-$111497","$159820"
2014-06-14,"$227474","$47305","$6537","-$118113","$163203"
2014-06-15,"$232332","$43720","$8822","-$121035","$163839"
2014-06-16,"$204962","$39348","$8822","-$111793","$141339"
2014-06-17,"$208897","$35413","$8822","-$111793","$141339"
2014-06-18,"$212439","$31871","$8822","-$111793","$141339"
2014-06-19,"$215627","$28683","$8822","-$111793","$141339"
2014-06-20,"$218496","$25814","$8822","-$111793","$141339"
2014-06-21,"$212606","$23232","$8822","-$103321","$141339"
2014-06-22,"$214930","$20908","$8822","-$103321","$141339"
2014-06-23,"$218582","$32865","$1018","-$103321","$149144"
2014-06-24,"$221869","$29578","$3283","-$105586","$149144"
2014-06-25,"$224927","$27517","$9294","-$112096","$149642"
2014-06-26,"$219182","$24765","$9294","-$103599","$149642"
2014-06-27,"$221659","$22288","$9294","-$103599","$149642"
2014-06-28,"$223888","$20059","$9294","-$103599","$149642"
2014-06-29,"$225894","$18053","$9294","-$103599","$149642"
2014-06-30,"$227700","$16247","$9294","-$103599","$149642"
2014-07-01,"$221536","$14622","$9294","-$95810","$149642"
2014-07-02,"$222999","$13159","$9294","-$98810","$146642"
2014-07-03,"$224820","$16380","$6773","-$98810","$149163"
2014-07-04,"$226458","$14742","$13478","-$105515","$149163"
2014-07-05,"$227933","$13267","$13478","-$105515","$149163"
2014-07-06,"$199061","$11940","$13478","-$97816","$126663"
2014-07-07,"$200255","$10746","$13478","-$97816","$126663"
2014-07-08,"$201330","$9671","$13478","-$97633","$126846"
2014-07-09,"$202298","$8703","$13478","-$97633","$126846"
2014-07-10,"$203169","$7832","$13478","-$97633","$126846"
2014-07-11,"$194078","$7048","$13478","-$87759","$126846"
2014-07-12,"$195453","$12375","$10127","-$87759","$130197"
2014-07-13,"$196691","$11137","$10127","-$87759","$130197"
2014-07-14,"$197805","$10023","$10127","-$87759","$130197"
2014-07-15,"$198808","$9020","$10127","-$87759","$130197"
2014-07-16,"$170741","$8118","$10127","-$81290","$107697"
2014-07-17,"$173339","$23374","$1200","-$81290","$116624"
2014-07-18,"$175677","$21036","$4354","-$84444","$116624"
2014-07-19,"$177781","$18932","$7331","-$87421","$116624"
2014-07-20,"$179675","$17038","$7331","-$87421","$116624"
2014-07-21,"$175552","$20861","$4261","-$80980","$119694"
2014-07-22,"$177639","$18774","$8733","-$85452","$119694"
2014-07-23,"$179618","$17803","$8229","-$85452","$120198"
2014-07-24,"$182452","$25502","$2962","-$85452","$125465"
2014-07-25,"$186705","$38269","$265","-$91265","$133975"
2014-07-26,"$183901","$38873","$2152","-$88490","$136437"
2014-07-27,"$187789","$34985","$5717","-$92055","$136437"
2014-07-28,"$191288","$31486","$12637","-$98975","$136437"
2014-07-29,"$194966","$33098","$9992","-$98975","$139082"
2014-07-30,"$198276","$29788","$9992","-$98975","$139082"
2014-07-31,"$193851","$26809","$9992","-$91571","$139082"
2014-08-01,"$197557","$33350","$4869","-$91571","$144205"
2014-08-02,"$202767","$46883","$52","-$99126","$150577"
2014-08-03,"$207798","$45275","$3333","-$104118","$152288"
2014-08-04,"$212326","$40747","$5333","-$106118","$152288"
2014-08-05,"$218154","$52448","$2827","-$112377","$161053"
2014-08-06,"$192059","$47203","$9662","-$110372","$138553"
2014-08-07,"$196987","$44345","$8627","-$110372","$139588"
2014-08-08,"$202455","$49203","$3464","-$110298","$144824"
2014-08-09,"$207376","$44282","$6846","-$113680","$144824"
2014-08-10,"$213697","$56885","$4321","-$120617","$154286"
2014-08-11,"$207032","$51196","$9887","-$113829","$154286"
2014-08-12,"$212152","$46076","$9887","-$113829","$154286"
2014-08-13,"$216760","$41468","$9887","-$113829","$154286"
2014-08-14,"$222100","$48060","$3921","-$113829","$160252"
2014-08-15,"$226906","$43254","$6981","-$116889","$160252"
2014-08-16,"$199437","$38928","$11753","-$112366","$137752"
2014-08-17,"$203330","$35035","$11753","-$112366","$137752"
2014-08-18,"$208239","$44175","$4729","-$112366","$144777"
2014-08-19,"$212657","$39757","$11461","-$119098","$144777"
2014-08-20,"$217688","$45275","$6186","-$119098","$150051"
2014-08-21,"$212634","$40747","$12200","-$115530","$150051"
2014-08-22,"$217944","$47786","$6026","-$115530","$156226"
2014-08-23,"$223171","$47037","$9217","-$120960","$158465"
2014-08-24,"$227875","$42333","$9217","-$120960","$158465"
2014-08-25,"$232797","$44294","$5775","-$120960","$161906"
2014-08-26,"$227670","$39864","$9625","-$115253","$161906"
2014-08-27,"$231657","$35877","$9625","-$115253","$161906"
2014-08-28,"$235245","$32289","$9625","-$115253","$161906"
2014-08-29,"$239117","$34843","$6412","-$115253","$165119"
2014-08-30,"$242806","$33197","$10488","-$120350","$166141"
2014-08-31,"$239034","$48715","$22","-$111165","$176606"
2014-09-01,"$243938","$44136","$2214","-$113519","$176769"
2014-09-02,"$248352","$39722","$5584","-$119889","$173769"
2014-09-03,"$254049","$51264","$2166","-$125091","$182388"
2014-09-04,"$259176","$46137","$5122","-$128047","$182388"
2014-09-05,"$265722","$58911","$1320","-$133905","$192048"
2014-09-06,"$238633","$53019","$6319","-$128423","$169548"
2014-09-07,"$243984","$48159","$8206","-$130555","$169794"
2014-09-08,"$248800","$43343","$8206","-$130611","$169738"
2014-09-09,"$254677","$52887","$495","-$130611","$177448"
2014-09-10,"$260382","$51338","$1640","-$133834","$179526"
2014-09-11,"$252282","$46775","$3571","-$122784","$179844"
2014-09-12,"$257787","$49541","$6164","-$129513","$183979"
2014-09-13,"$264397","$59483","$291","-$131916","$192255"
2014-09-14,"$270346","$53534","$6770","-$138395","$192255"
2014-09-15,"$276614","$56408","$5974","-$142170","$196826"
2014-09-16,"$248493","$50844","$9138","-$134106","$174369"
2014-09-17,"$253578","$45759","$9138","-$134106","$174369"
2014-09-18,"$258154","$41183","$9138","-$134106","$174369"
2014-09-19,"$262273","$37064","$9138","-$134106","$174369"
2014-09-20,"$265980","$33357","$9138","-$134106","$174369"
2014-09-21,"$258984","$30021","$9138","-$123774","$174369"
2014-09-22,"$261987","$27018","$9138","-$123774","$174369"
2014-09-23,"$266362","$39371","$774","-$123774","$182733"
2014-09-24,"$270300","$35433","$6686","-$129686","$182733"
2014-09-25,"$273844","$31889","$12114","-$135114","$182733"
2014-09-26,"$266617","$28700","$12114","-$124698","$182733"
2014-09-27,"$270417","$34195","$7467","-$124698","$187381"
2014-09-28,"$273837","$30775","$7467","-$124698","$187381"
2014-09-29,"$276915","$27697","$7467","-$124698","$187381"
2014-09-30,"$280010","$27846","$5845","-$124698","$189003"
2014-10-01,"$272958","$25061","$9313","-$118329","$189003"
2014-10-02,"$275465","$22554","$9313","-$121329","$186003"
2014-10-03,"$277721","$20298","$9313","-$121329","$186003"
2014-10-04,"$281169","$31030","$2223","-$121329","$193093"
2014-10-05,"$284272","$27927","$5563","-$124669","$193093"
2014-10-06,"$255063","$25134","$8040","-$117644","$170593"
2014-10-07,"$257577","$22620","$8040","-$117644","$170593"
2014-10-08,"$259839","$20358","$8040","-$117814","$170422"
2014-10-09,"$263123","$29554","$1800","-$117814","$176662"
2014-10-10,"$266079","$26598","$4215","-$120229","$176662"
2014-10-11,"$256812","$27099","$4826","-$110319","$178419"
2014-10-12,"$260788","$35778","$3170","-$114990","$184746"
2014-10-13,"$265103","$38828","$2504","-$118007","$188429"
2014-10-14,"$268986","$34945","$6881","-$122384","$188429"
2014-10-15,"$272481","$31450","$12523","-$128026","$188429"
2014-10-16,"$245783","$50643","$113","-$118201","$178339"
2014-10-17,"$250848","$45578","$2843","-$120931","$178339"
2014-10-18,"$255714","$43788","$4213","-$123839","$179877"
2014-10-19,"$261486","$51947","$3376","-$129967","$186842"
2014-10-20,"$266681","$46752","$9287","-$135878","$186842"
